# Residuals                 
# Time                      	p                           	Ux                          	Uy                          	e                           	k                           	omega                       
1.22185e-08                 	7.96319316641420651642e-10	9.94175862526252694420e-11	5.39791485956637120572e-10	4.87198613680893532273e-09	3.30864605176226384144e-07	1.11123222174383685403e-11
1.22953e-08                 	9.08058360697859298660e-10	1.11686163524371380277e-10	6.11212972807955059444e-10	5.39044373935232333158e-09	3.79119034402249765145e-07	1.27327838183447693250e-11
1.23875e-08                 	1.08750367057633646789e-09	1.37281897685739079888e-10	7.01499114171075788232e-10	5.93943662357201833393e-09	4.54940953100747619533e-07	1.52791390792541342863e-11
1.24982e-08                 	1.30223289804186130018e-09	1.44341043414975191178e-10	8.20217327011324465078e-10	6.82571791785988370008e-09	5.45925567901950254195e-07	1.83344950361045820948e-11
1.26186e-08                 	1.41613953060428377619e-09	1.48183951111486613203e-10	9.95570721014062434696e-10	7.15105906368433303302e-09	5.94463431305940779004e-07	1.99629050100371272348e-11
1.27394e-08                 	1.41862221114683559516e-09	1.54469951487236588832e-10	9.55368464609567097894e-10	6.75273576994165477966e-09	5.95697605521191298458e-07	2.00015648752901867467e-11
1.28603e-08                 	1.41982841944122609589e-09	1.25962676085603930346e-10	8.95983117970130502814e-10	6.96297562001947370202e-09	5.96880036876867624858e-07	2.00387059215515046408e-11
1.29816e-08                 	1.42083734981487430065e-09	1.51574873770984587126e-10	1.22152915017322419065e-09	6.73371003212411113229e-09	5.98016223289138946100e-07	2.00744673457607933387e-11
1.3103e-08                  	1.42291332757659442940e-09	1.54406543958933179024e-10	1.27430132820145929592e-09	6.63891371866296036163e-09	5.99110645222795479537e-07	2.01089647136497554726e-11
1.32246e-08                 	1.42545014153901655228e-09	1.48603765366530144671e-10	1.27195956093610264337e-09	6.98012655420671810190e-09	6.00167226966019267890e-07	2.01423041406729907919e-11
1.33465e-08                 	1.42665714647962191919e-09	1.58706683152297772262e-10	1.25691334385313007265e-09	6.83307092226200543934e-09	6.01188910849481575910e-07	2.01745639679725145305e-11
