# Force coefficients        
# liftDir                   : (-2.39732967011547337677e-01 9.70838866407726985841e-01 0.00000000000000000000e+00)
# dragDir                   : (9.70838866407726985841e-01 2.39732967011547337677e-01 0.00000000000000000000e+00)
# pitchAxis                 : (0.00000000000000000000e+00 0.00000000000000000000e+00 1.00000000000000000000e+00)
# magUInf                   : 6.18022000000000048203e+02
# lRef                      : 1.00000000000000000000e+00
# Aref                      : 1.00000000000000000000e+00
# CofR                      : (0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# Time                      	Cm                          	Cd                          	Cl                          	Cl(f)                       	Cl(r)                       
4.32045e-43                 	7.51725172128914713467e-15	4.68844202609960181150e-01	-1.15773498205500452451e-01	-5.78867491027427114036e-02	-5.78867491027577410478e-02
5.18455e-43                 	7.51845161298626316131e-15	4.68844202609960125638e-01	-1.15773498205500507963e-01	-5.78867491027427322203e-02	-5.78867491027577757423e-02
6.22146e-43                 	7.47917143750624279208e-15	4.68844202609960125638e-01	-1.15773498205500507963e-01	-5.78867491027427738537e-02	-5.78867491027577341089e-02
7.46575e-43                 	7.44107720149430403284e-15	4.68844202609960125638e-01	-1.15773498205500438574e-01	-5.78867491027427807926e-02	-5.78867491027576577811e-02
8.9589e-43                  	7.44226314096238406510e-15	4.68844202609960181150e-01	-1.15773498205500452451e-01	-5.78867491027427807926e-02	-5.78867491027576716589e-02
1.07507e-42                 	7.47558106390091765660e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428016093e-02	-5.78867491027577479867e-02
1.29008e-42                 	7.47675770188297474443e-15	4.68844202609960181150e-01	-1.15773498205500535718e-01	-5.78867491027427877315e-02	-5.78867491027577479867e-02
1.5481e-42                  	7.47615775603441594225e-15	4.68844202609960181150e-01	-1.15773498205500535718e-01	-5.78867491027427946704e-02	-5.78867491027577410478e-02
1.85772e-42                 	7.47497181656633590999e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428016093e-02	-5.78867491027577479867e-02
2.22926e-42                 	7.36156809895979832195e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027429126316e-02	-5.78867491027576369644e-02
2.67511e-42                 	7.36277729214293887074e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027429126316e-02	-5.78867491027576369644e-02
3.21014e-42                 	7.36158670193184736626e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027429126316e-02	-5.78867491027576369644e-02
3.85216e-42                 	7.40115987422162835053e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428709982e-02	-5.78867491027576785978e-02
4.6226e-42                  	7.40116917570765287269e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428709982e-02	-5.78867491027576785978e-02
5.54711e-42                 	7.39968558868679917544e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428779371e-02	-5.78867491027576716589e-02
6.65654e-42                 	7.47648795878827306820e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428016093e-02	-5.78867491027577479867e-02
7.98784e-42                 	7.40057853134511859266e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428709982e-02	-5.78867491027576785978e-02
9.58541e-42                 	7.40264811198549351999e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428709982e-02	-5.78867491027576785978e-02
1.15025e-41                 	7.40145287103138896557e-15	4.68844202609960181150e-01	-1.15773498205500632863e-01	-5.78867491027429126316e-02	-5.78867491027577202312e-02
1.3803e-41                  	7.40145752177440201551e-15	4.68844202609960181150e-01	-1.15773498205500632863e-01	-5.78867491027429126316e-02	-5.78867491027577202312e-02
1.65636e-41                 	7.40236906740476889932e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428709982e-02	-5.78867491027576785978e-02
1.98763e-41                 	7.51695872447938651963e-15	4.68844202609960181150e-01	-1.15773498205500632863e-01	-5.78867491027428016093e-02	-5.78867491027578312535e-02
2.38516e-41                 	7.43838442129030978680e-15	4.68844202609960181150e-01	-1.15773498205500632863e-01	-5.78867491027428779371e-02	-5.78867491027577549256e-02
2.86219e-41                 	7.51754936884192079965e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427599759e-02	-5.78867491027577896201e-02
3.43463e-41                 	7.47794364135105477669e-15	4.68844202609960236661e-01	-1.15773498205500730007e-01	-5.78867491027428848760e-02	-5.78867491027578451313e-02
4.12155e-41                 	7.47945048208696741275e-15	4.68844202609960236661e-01	-1.15773498205500730007e-01	-5.78867491027428848760e-02	-5.78867491027578451313e-02
4.94586e-41                 	7.47943652985793141837e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027428085482e-02	-5.78867491027577688034e-02
5.93504e-41                 	7.47826454261888738048e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427946704e-02	-5.78867491027577549256e-02
7.12204e-41                 	7.47944118060094446831e-15	4.68844202609960347683e-01	-1.15773498205500494085e-01	-5.78867491027427669148e-02	-5.78867491027577271701e-02
8.54645e-41                 	7.47945978357299193490e-15	4.68844202609960403194e-01	-1.15773498205500507963e-01	-5.78867491027427738537e-02	-5.78867491027577341089e-02
1.02557e-40                 	7.47975278038275254995e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027428085482e-02	-5.78867491027577688034e-02
1.23069e-40                 	7.44017495734996009346e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027428016093e-02	-5.78867491027576785978e-02
1.47683e-40                 	7.47885983772443471045e-15	4.68844202609960347683e-01	-1.15773498205500494085e-01	-5.78867491027427669148e-02	-5.78867491027577271701e-02
1.77219e-40                 	7.47885518698142166051e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027428085482e-02	-5.78867491027577688034e-02
2.12663e-40                 	7.47944118060094446831e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427946704e-02	-5.78867491027577549256e-02
2.55196e-40                 	7.43955640852935382469e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428363037e-02	-5.78867491027577132923e-02
3.06235e-40                 	7.44257009000118067452e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027428432426e-02	-5.78867491027577341089e-02
3.67482e-40                 	7.44016565586393557130e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027428571204e-02	-5.78867491027577341089e-02
4.40978e-40                 	7.47707395240779587601e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428501815e-02	-5.78867491027578104368e-02
