# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0.00232         	1.46468458e-02	8.57961774e-03	9.59593648e-03	1.29244179e-02	1.19594100e-03	1.56243152e-04
0.00234         	1.47164869e-02	8.46180728e-03	9.55826554e-03	1.27577039e-02	1.18605195e-03	1.55895738e-04
0.00236         	1.48016795e-02	8.34445270e-03	9.50831980e-03	1.25899717e-02	1.17589584e-03	1.55591617e-04
0.00238         	1.46625104e-02	8.23681306e-03	9.45749701e-03	1.24485025e-02	1.16668800e-03	1.55250012e-04
0.0024          	1.44616205e-02	8.12614408e-03	9.41802947e-03	1.23097678e-02	1.15741294e-03	1.54865545e-04
0.00242         	1.42462207e-02	8.02550117e-03	9.38976231e-03	1.21712709e-02	1.14853291e-03	1.54550892e-04
0.00244         	1.40334651e-02	7.92961415e-03	9.35749735e-03	1.20245852e-02	1.13936897e-03	1.54280661e-04
0.00246         	1.38397491e-02	7.83951852e-03	9.31674875e-03	1.18791341e-02	1.12979127e-03	1.54038478e-04
0.00248         	1.36593273e-02	7.75107524e-03	9.26528624e-03	1.17496685e-02	1.12001434e-03	1.53576645e-04
0.0025          	1.34887218e-02	7.66379551e-03	9.22809342e-03	1.16312107e-02	1.11117511e-03	1.53248962e-04
0.00252         	1.33201199e-02	7.57862874e-03	9.20017266e-03	1.15188702e-02	1.10259545e-03	1.52960249e-04
0.00254         	1.31464329e-02	7.49527930e-03	9.16888996e-03	1.14001758e-02	1.09439225e-03	1.52727741e-04
0.00256         	1.29692005e-02	7.42045278e-03	9.13734067e-03	1.12771515e-02	1.08609152e-03	1.52534296e-04
0.00258         	1.28150918e-02	7.34630525e-03	9.09357486e-03	1.11563167e-02	1.07715485e-03	1.52420482e-04
0.0026          	1.26747025e-02	7.27692557e-03	9.04996010e-03	1.10547078e-02	1.06944138e-03	1.53676027e-04
0.00262         	1.25329863e-02	7.20693310e-03	9.02182984e-03	1.09569132e-02	1.06172553e-03	1.53506107e-04
0.00264         	1.23908188e-02	7.14079877e-03	8.99740855e-03	1.08550954e-02	1.05438995e-03	1.53358010e-04
0.00266         	1.22505963e-02	7.07353224e-03	8.96970666e-03	1.07579813e-02	1.04701746e-03	1.53314068e-04
0.00268         	1.21098871e-02	7.00793798e-03	8.93162551e-03	1.06564786e-02	1.04008361e-03	1.53242500e-04
0.0027          	1.19807247e-02	6.94578579e-03	8.89328273e-03	1.05581346e-02	1.03243583e-03	1.53244870e-04
0.00272         	1.18617602e-02	6.88799164e-03	8.85510800e-03	1.04688082e-02	1.02480024e-03	1.53276092e-04
0.00274         	1.17500858e-02	6.83564640e-03	8.82839636e-03	1.03869040e-02	1.01842149e-03	1.53323699e-04
0.00276         	1.16348423e-02	6.78060684e-03	8.80518390e-03	1.03073948e-02	1.01201909e-03	1.53444415e-04
0.00278         	1.15140345e-02	6.72248319e-03	8.77813637e-03	1.02188902e-02	1.00601959e-03	1.53566328e-04
0.0028          	1.14006829e-02	6.66958669e-03	8.74880676e-03	1.01326990e-02	9.99445502e-04	1.53701300e-04
0.00282         	1.12989033e-02	6.61368526e-03	8.70803588e-03	1.00505053e-02	9.93501406e-04	1.53767600e-04
0.00284         	1.11970854e-02	6.56740039e-03	8.67063508e-03	9.97840599e-03	9.86629042e-04	1.53878532e-04
0.00286         	1.10975717e-02	6.51947752e-03	8.64749042e-03	9.91035189e-03	9.82289978e-04	1.53847928e-04
0.00288         	1.09979478e-02	6.47246004e-03	8.62533875e-03	9.84019581e-03	9.81884358e-04	1.53562205e-04
0.0029          	1.09073632e-02	6.43003194e-03	8.60280757e-03	9.77214677e-03	9.77986387e-04	1.53560730e-04
0.00292         	1.08115623e-02	6.38391846e-03	8.57271814e-03	9.70497663e-03	9.74243605e-04	1.53539341e-04
0.00294         	1.07212676e-02	6.34074815e-03	8.54237283e-03	9.63146609e-03	9.71360711e-04	1.53477546e-04
0.00296         	1.06401880e-02	6.29444979e-03	8.50633631e-03	9.57062164e-03	9.67268362e-04	1.53502892e-04
0.00298         	1.05618059e-02	6.25058142e-03	8.47741970e-03	9.51277109e-03	9.62627688e-04	1.53571933e-04
0.003           	1.04798088e-02	6.21167955e-03	8.45565534e-03	9.45449875e-03	9.57398992e-04	1.53744704e-04
0.00302         	1.03954767e-02	6.17264778e-03	8.43393117e-03	9.39591080e-03	9.53081678e-04	1.53952331e-04
0.00304         	1.03095485e-02	6.13694199e-03	8.41247624e-03	9.33609411e-03	9.48442651e-04	1.54201425e-04
0.00306         	1.02348108e-02	6.10310071e-03	8.38649241e-03	9.27925516e-03	9.43950831e-04	1.54443153e-04
0.00308         	1.01659374e-02	6.06292442e-03	8.35526578e-03	9.22680453e-03	9.39726989e-04	1.54625177e-04
0.0031          	1.00964648e-02	6.02763103e-03	8.32360137e-03	9.17430955e-03	9.36223643e-04	1.54757648e-04
0.00312         	1.00329894e-02	5.98916897e-03	8.29965423e-03	9.12739095e-03	9.31687841e-04	1.54997277e-04
0.00314         	9.96668832e-03	5.95156502e-03	8.27660022e-03	9.07818273e-03	9.27219195e-04	1.55267452e-04
0.00316         	9.89806245e-03	5.91991962e-03	8.25753855e-03	9.03079629e-03	9.22681873e-04	1.55555598e-04
0.00318         	9.82567684e-03	5.88783091e-03	8.23658752e-03	8.98283980e-03	9.18690082e-04	1.55857337e-04
0.0032          	9.75856868e-03	5.85800656e-03	8.21745920e-03	8.93191446e-03	9.15042495e-04	1.56098266e-04
0.00322         	9.69924536e-03	5.83176012e-03	8.19050087e-03	8.88417887e-03	9.11299304e-04	1.56369430e-04
0.00324         	9.64503243e-03	5.79910867e-03	8.15956907e-03	8.84249091e-03	9.07392298e-04	1.56667305e-04
0.00326         	9.58830078e-03	5.76717961e-03	8.13419428e-03	8.80104389e-03	9.04127272e-04	1.56881814e-04
0.00328         	9.53590966e-03	5.73549947e-03	8.11474071e-03	8.76270938e-03	9.00711966e-04	1.57125241e-04
0.0033          	9.48236445e-03	5.70092799e-03	8.09651590e-03	8.72722634e-03	8.97436644e-04	1.57341890e-04
0.00332         	9.42757373e-03	5.67635000e-03	8.07760296e-03	8.68302398e-03	8.93881444e-04	1.57539180e-04
0.00334         	9.36979248e-03	5.65188648e-03	8.05867707e-03	8.64192303e-03	8.90228828e-04	1.57638773e-04
0.00336         	9.31308424e-03	5.62471382e-03	8.03812409e-03	8.59717521e-03	8.86650559e-04	1.57578559e-04
0.00338         	9.26234335e-03	5.59924407e-03	8.01081845e-03	8.55605167e-03	8.83049301e-04	1.57391103e-04
