 Part 2.

  A specification of experimentally based turbulent viscosities and
turbulent length scales in the bulk of the flow. The values beyond
3.0 diameters were obtained from a k-e solution in that region.

  To obtain a value at any arbitary point use bilinear interpolation
between the four surrounding points. The (FORTRAN) format used to read
these numbers should be: 4E13.3

    Axial        Radial       Turbulent    Length
    position     position     viscosity    scale
    1.550E+00    2.000E-01    2.683E-03    1.458E-02
    1.550E+00    2.200E-01    2.954E-03    1.527E-02
    1.550E+00    2.400E-01    3.207E-03    1.599E-02
    1.550E+00    2.600E-01    3.488E-03    1.697E-02
    1.550E+00    2.800E-01    3.727E-03    1.804E-02
    1.550E+00    3.000E-01    3.843E-03    1.893E-02
    1.550E+00    3.200E-01    3.923E-03    1.959E-02
    1.550E+00    3.400E-01    3.928E-03    2.003E-02
    1.550E+00    3.600E-01    3.850E-03    2.026E-02
    1.550E+00    3.800E-01    3.677E-03    2.027E-02
    1.550E+00    4.000E-01    3.411E-03    2.006E-02
    1.550E+00    4.200E-01    3.059E-03    1.967E-02
    1.550E+00    4.400E-01    2.433E-03    1.765E-02
    1.550E+00    4.600E-01    1.422E-03    1.235E-02
    1.550E+00    4.800E-01    4.744E-04    5.714E-03
    1.550E+00    5.000E-01    0.000E+00    0.000E+00
    1.650E+00    0.000E+00    6.309E-04    9.267E-03
    1.650E+00    2.000E-02    6.780E-04    9.737E-03
    1.650E+00    4.000E-02    7.712E-04    1.026E-02
    1.650E+00    6.000E-02    9.197E-04    1.088E-02
    1.650E+00    8.000E-02    1.107E-03    1.152E-02
    1.650E+00    1.000E-01    1.315E-03    1.211E-02
    1.650E+00    1.200E-01    1.624E-03    1.275E-02
    1.650E+00    1.400E-01    1.948E-03    1.341E-02
    1.650E+00    1.600E-01    2.275E-03    1.409E-02
    1.650E+00    1.800E-01    2.590E-03    1.477E-02
    1.650E+00    2.000E-01    2.905E-03    1.545E-02
    1.650E+00    2.200E-01    3.174E-03    1.615E-02
    1.650E+00    2.400E-01    3.416E-03    1.689E-02
    1.650E+00    2.600E-01    3.668E-03    1.783E-02
    1.650E+00    2.800E-01    3.881E-03    1.885E-02
    1.650E+00    3.000E-01    3.990E-03    1.971E-02
    1.650E+00    3.200E-01    4.061E-03    2.038E-02
    1.650E+00    3.400E-01    4.064E-03    2.087E-02
    1.650E+00    3.600E-01    3.989E-03    2.118E-02
    1.650E+00    3.800E-01    3.834E-03    2.130E-02
    1.650E+00    4.000E-01    3.606E-03    2.124E-02
    1.650E+00    4.200E-01    3.310E-03    2.103E-02
    1.650E+00    4.400E-01    2.659E-03    1.873E-02
    1.650E+00    4.600E-01    1.557E-03    1.290E-02
    1.650E+00    4.800E-01    5.210E-04    5.909E-03
    1.650E+00    5.000E-01    0.000E+00    0.000E+00
    1.750E+00    0.000E+00    7.873E-04    1.055E-02
    1.750E+00    2.000E-02    8.503E-04    1.110E-02
    1.750E+00    4.000E-02    9.711E-04    1.167E-02
    1.750E+00    6.000E-02    1.144E-03    1.222E-02
    1.750E+00    8.000E-02    1.346E-03    1.274E-02
    1.750E+00    1.000E-01    1.573E-03    1.327E-02
    1.750E+00    1.200E-01    1.896E-03    1.385E-02
    1.750E+00    1.400E-01    2.225E-03    1.445E-02
    1.750E+00    1.600E-01    2.548E-03    1.507E-02
    1.750E+00    1.800E-01    2.852E-03    1.572E-02
    1.750E+00    2.000E-01    3.147E-03    1.639E-02
    1.750E+00    2.200E-01    3.411E-03    1.708E-02
    1.750E+00    2.400E-01    3.639E-03    1.780E-02
    1.750E+00    2.600E-01    3.859E-03    1.871E-02
    1.750E+00    2.800E-01    4.043E-03    1.967E-02
    1.750E+00    3.000E-01    4.146E-03    2.051E-02
    1.750E+00    3.200E-01    4.208E-03    2.120E-02
