 Part 1.

  A specification of both the velocity and turbulence fields at a
distance 0.05 diameters downstream of the expansion.

  The data has been specified at many points so that linear interpolation
will give accurate values at any radial position. The data has been split
into two tables, the first containing data suitable for a two equation
turbulence model codes, and the second the Reynolds stresses.

 The (FORTRAN) format used to read the first set of data should
be: 5E13.3.

    Radial       Axial        Radial       K            Turbulent
    position     velocity     velocity                  viscosity
    1.990E-01    8.605E-01    3.433E-03    4.137E-03    4.485E-04
    2.000E-01    8.589E-01    3.498E-03    4.170E-03    4.461E-04
    2.010E-01    8.572E-01    3.564E-03    4.202E-03    4.393E-04
    2.020E-01    8.553E-01    3.631E-03    4.236E-03    4.326E-04
    2.030E-01    8.537E-01    3.699E-03    4.271E-03    4.260E-04
    2.040E-01    8.522E-01    3.767E-03    4.305E-03    4.192E-04
    2.050E-01    8.505E-01    3.836E-03    4.340E-03    4.124E-04
    2.060E-01    8.488E-01    3.907E-03    4.376E-03    4.057E-04
    2.070E-01    8.470E-01    3.977E-03    4.413E-03    3.990E-04
    2.080E-01    8.450E-01    4.049E-03    4.450E-03    3.922E-04
    2.090E-01    8.430E-01    4.122E-03    4.487E-03    3.854E-04
    2.100E-01    8.409E-01    4.195E-03    4.525E-03    3.786E-04
    2.110E-01    8.387E-01    4.269E-03    4.564E-03    3.718E-04
    2.120E-01    8.364E-01    4.344E-03    4.603E-03    3.650E-04
    2.130E-01    8.340E-01    4.419E-03    4.643E-03    3.582E-04
    2.140E-01    8.315E-01    4.496E-03    4.683E-03    3.514E-04
    2.150E-01    8.289E-01    4.573E-03    4.724E-03    3.445E-04
    2.160E-01    8.262E-01    4.651E-03    4.765E-03    3.376E-04
    2.170E-01    8.234E-01    4.730E-03    4.807E-03    3.307E-04
    2.180E-01    8.205E-01    4.810E-03    4.850E-03    3.239E-04
    2.190E-01    8.175E-01    4.890E-03    4.893E-03    3.169E-04
    2.200E-01    8.145E-01    4.971E-03    4.937E-03    3.100E-04
    2.210E-01    8.113E-01    5.054E-03    4.981E-03    3.030E-04
    2.220E-01    8.080E-01    5.136E-03    5.026E-03    2.961E-04
    2.230E-01    8.047E-01    5.220E-03    5.072E-03    2.891E-04
    2.240E-01    8.012E-01    5.305E-03    5.118E-03    2.821E-04
    2.250E-01    7.977E-01    5.390E-03    5.164E-03    2.751E-04
    2.260E-01    7.940E-01    5.476E-03    5.211E-03    2.680E-04
    2.270E-01    7.903E-01    5.563E-03    5.259E-03    2.609E-04
    2.280E-01    7.865E-01    5.650E-03    5.307E-03    2.538E-04
    2.290E-01    7.826E-01    5.739E-03    5.357E-03    2.468E-04
    2.300E-01    7.785E-01    5.828E-03    5.406E-03    2.396E-04
    2.310E-01    7.744E-01    5.918E-03    5.458E-03    2.325E-04
    2.320E-01    7.702E-01    6.009E-03    5.513E-03    2.254E-04
    2.330E-01    7.659E-01    6.101E-03    5.573E-03    2.184E-04
    2.340E-01    7.615E-01    6.193E-03    5.636E-03    2.114E-04
    2.350E-01    7.570E-01    6.286E-03    5.703E-03    2.044E-04
    2.360E-01    7.524E-01    6.381E-03    5.775E-03    1.974E-04
    2.370E-01    7.478E-01    6.475E-03    5.850E-03    1.904E-04
    2.380E-01    7.430E-01    6.571E-03    5.929E-03    1.834E-04
    2.390E-01    7.381E-01    6.668E-03    6.012E-03    1.764E-04
    2.400E-01    7.331E-01    6.765E-03    6.099E-03    1.694E-04
    2.410E-01    7.281E-01    6.869E-03    6.190E-03    1.623E-04
    2.420E-01    7.225E-01    6.985E-03    6.284E-03    1.553E-04
    2.430E-01    7.161E-01    7.113E-03    6.383E-03    1.482E-04
    2.440E-01    7.088E-01    7.254E-03    6.486E-03    1.410E-04
    2.450E-01    7.007E-01    7.407E-03    6.592E-03    1.338E-04
    2.460E-01    6.917E-01    7.572E-03    6.706E-03    1.266E-04
    2.470E-01    6.818E-01    7.749E-03    6.861E-03    1.196E-04
    2.480E-01    6.710E-01    7.939E-03    7.010E-03    1.124E-04
    2.490E-01    6.566E-01    8.141E-03    7.294E-03    1.061E-04
    2.500E-01    6.357E-01    8.356E-03    7.735E-03    1.005E-04
    2.510E-01    6.083E-01    8.582E-03    8.460E-03    9.581E-05
    2.520E-01    5.745E-01    8.821E-03    9.331E-03    9.148E-05
    2.530E-01    5.342E-01    9.072E-03    1.071E-02    8.882E-05
    2.540E-01    4.875E-01    9.336E-03    1.238E-02    8.628E-05
    2.550E-01    4.376E-01    9.612E-03    1.382E-02    8.212E-05
    2.560E-01    3.878E-01    9.900E-03    1.455E-02    7.571E-05
    2.570E-01    3.380E-01    1.020E-02    1.459E-02    6.798E-05
    2.580E-01    2.884E-01    1.051E-02    1.439E-02    6.044E-05
    2.590E-01    2.388E-01    1.084E-02    1.352E-02    5.243E-05
    2.600E-01    1.916E-01    1.117E-02    1.233E-02    4.485E-05
    2.610E-01    1.492E-01    1.128E-02    1.118E-02    3.837E-05
    2.620E-01    1.115E-01    1.092E-02    1.012E-02    3.297E-05
    2.630E-01    7.850E-02    1.009E-02    9.098E-03    2.849E-05
    2.640E-01    5.028E-02    8.797E-03    8.105E-03    2.481E-05
    2.650E-01    2.794E-02    7.031E-03    7.242E-03    2.199E-05
    2.660E-01    1.263E-02    4.795E-03    6.566E-03    2.003E-05
    2.670E-01    4.353E-03    2.091E-03    6.182E-03    1.903E-05
    2.680E-01    1.193E-04   -1.083E-03    5.944E-03    1.871E-05
    2.690E-01   -3.060E-03   -4.725E-03    5.749E-03    1.891E-05
    2.700E-01   -5.186E-03   -8.836E-03    5.603E-03    1.962E-05
    2.710E-01   -6.257E-03   -1.294E-02    5.505E-03    2.083E-05
    2.720E-01   -6.788E-03   -1.658E-02    5.428E-03    2.250E-05
    2.730E-01   -7.294E-03   -1.974E-02    5.354E-03    2.458E-05
    2.740E-01   -7.773E-03   -2.243E-02    5.282E-03    2.708E-05
    2.750E-01   -8.227E-03   -2.464E-02    5.200E-03    2.993E-05
    2.760E-01   -8.769E-03   -2.639E-02    5.123E-03    3.318E-05
    2.770E-01   -1.030E-02   -2.765E-02    5.041E-03    3.678E-05
    2.780E-01   -1.134E-02   -2.845E-02    4.970E-03    4.078E-05
    2.790E-01   -1.189E-02   -2.877E-02    4.903E-03    4.515E-05
    2.800E-01   -1.193E-02   -2.862E-02    4.842E-03    4.990E-05
    2.810E-01   -1.174E-02   -2.823E-02    4.786E-03    5.503E-05
    2.820E-01   -1.154E-02   -2.786E-02    4.735E-03    6.054E-05
    2.830E-01   -1.135E-02   -2.749E-02    4.690E-03    6.643E-05
    2.840E-01   -1.116E-02   -2.714E-02    4.649E-03    7.270E-05
    2.850E-01   -1.098E-02   -2.680E-02    4.614E-03    7.937E-05
    2.860E-01   -1.080E-02   -2.647E-02    4.584E-03    8.644E-05
    2.870E-01   -1.062E-02   -2.614E-02    4.559E-03    9.391E-05
    2.880E-01   -1.044E-02   -2.583E-02    4.539E-03    1.018E-04
    2.890E-01   -1.027E-02   -2.553E-02    4.525E-03    1.101E-04
    2.900E-01   -1.010E-02   -2.524E-02    4.519E-03    1.189E-04
    2.910E-01   -9.932E-03   -2.495E-02    4.517E-03    1.282E-04
    2.920E-01   -9.768E-03   -2.467E-02    4.518E-03    1.379E-04
    2.930E-01   -9.606E-03   -2.439E-02    4.521E-03    1.480E-04
    2.940E-01   -9.448E-03   -2.411E-02    4.524E-03    1.585E-04
    2.950E-01   -9.293E-03   -2.383E-02    4.528E-03    1.695E-04
    2.960E-01   -9.140E-03   -2.355E-02    4.533E-03    1.809E-04
    2.970E-01   -8.991E-03   -2.327E-02    4.538E-03    1.927E-04
    2.980E-01   -8.844E-03   -2.300E-02    4.548E-03    2.050E-04
    2.990E-01   -8.701E-03   -2.273E-02    4.554E-03    2.177E-04
    3.000E-01   -8.560E-03   -2.245E-02    4.560E-03    2.308E-04
    3.010E-01   -8.423E-03   -2.218E-02    4.566E-03    2.377E-04
    3.020E-01   -8.288E-03   -2.191E-02    4.566E-03    2.444E-04
    3.030E-01   -8.157E-03   -2.164E-02    4.567E-03    2.511E-04
    3.040E-01   -8.028E-03   -2.138E-02    4.572E-03    2.579E-04
    3.050E-01   -7.902E-03   -2.111E-02    4.576E-03    2.647E-04
    3.060E-01   -7.779E-03   -2.085E-02    4.579E-03    2.715E-04
